raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh688386,688386,sh,泛亚微透,49.71,0.46,2.08,0.95,48.24,3.34,-2.53,-11.07,-2.53,-37.82,-43.03,94170000.0,4952000000.0,4524000000.0
sh688563,688563,sh,航材股份,49.65,0.75,0.73,0.93,45.88,2.13,-0.3,-4.17,-2.82,-2.33,-14.74,49090000.0,22311000000.0,6730000000.0
sh603091,603091,sh,众鑫股份,49.62,0.24,1.77,1.17,20.66,3.11,2.16,0.57,6.21,-2.2,-11.22,38760000.0,7102000000.0,2184000000.0
sh603119,603119,sh,浙江荣泰,49.4,-0.96,1.32,0.65,76.56,11.13,-1.2,-9.77,11.36,-24.78,-44.37,312820000.0,23359000000.0,23359000000.0
sz002536,002536,sz,飞龙股份,49.3,-4.38,10.53,1.05,155.53,8.51,17.94,15.05,20.48,22.79,67.69,2850420000.0,28337000000.0,26883999999.999996
sz301531,301531,sz,春光集团,49.25,1.11,4.93,1.04,76.94,7.25,-0.53,-3.9,2.82,-34.59,270.3,114460000.0,10822000000.0,2309000000.0
bj920206,920206,bj,彩客科技,49.21,5.83,15.64,0.96,24.14,3.99,24.33,43.14,44.06,62.52,62.52,202620000.0,3521000000.0,1355000000.0
sz301687,301687,sz,新广益,49.2,-1.76,7.57,0.92,58.43,4.75,-0.2,-3.24,8.9,-15.62,-30.72,115740000.0,7226000000.000001,1533000000.0
sz002970,002970,sz,锐明技术,49.2,-2.63,3.1,1.46,31.21,4.12,-0.36,-10.43,6.49,-22.15,2.71,202100000.0,9070000000.0,6463000000.0
sh688727,688727,sh,恒坤新材,49.1,1.24,7.15,0.95,157.28,8.53,1.59,-0.41,21.75,-1.01,2.78,190240000.0,22062000000.0,2653000000.0
sh688239,688239,sh,航宇科技,49.1,-2.93,5.84,0.93,44.05,4.18,13.03,6.74,18.06,-14.22,-27.28,548940000.0,9374000000.0,9374000000.0
sz301310,301310,sz,鑫宏业,49.07,0.7,3.18,0.51,70.16,3.98,-4.31,-6.21,-16.12,45.31,60.7,151170000.0,9370000000.0,4786000000.0
sz002046,002046,sz,国机精工,49.07,-1.33,1.65,0.69,161.63,6.18,2.49,2.81,8.32,-4.91,14.16,428170000.0,26311000000.0,26016000000.000004
sz300695,300695,sz,兆丰股份,48.97,-0.06,0.43,0.55,16.56,1.75,0.55,-7.48,11.17,-20.76,-50.99,21840000.0,5008000000.0,5008000000.0
sh688717,688717,sh,艾罗能源,48.93,-0.47,12.05,1.34,-139.81,1.81,-16.71,-24.53,-14.16,-54.27,-20.57,592670000.0,7829000000.000001,4846000000.0
sz000423,000423,sz,东阿阿胶,48.8,-0.18,0.76,0.53,17.49,3.07,-5.68,-7.87,-9.29,-3.12,2.42,237940000.0,31224000000.0,31169000000.0
sh603662,603662,sh,柯力传感,48.67,-0.51,0.84,0.42,44.66,5.09,-1.7,-9.7,0.02,-19.47,-32.06,115630000.0,13668000000.0,13668000000.0
sh600362,600362,sh,江西铜业,48.57,10.01,4.21,1.62,14.51,1.92,10.34,4.52,13.35,3.6,-10.59,4149840000.0,168185000000.0,100795000000.0
sh603435,603435,sh,嘉德利,48.45,-1.44,3.89,0.6,90.6,10.44,-6.56,-10.71,4.46,-36.93,207.42,67190000.0,22247000000.0,1729000000.0
sz301479,301479,sz,弘景光电,48.42,-1.78,2.14,0.7,33.92,4.63,-0.06,-2.46,6.39,-28.27,-21.65,74430000.0,6031000000.0,3452000000.0000005
sz300558,300558,sz,贝达药业,48.41,-1.57,3.06,0.44,43.83,3.04,-5.39,-28.39,-16.56,0.48,4.02,628650000.0,20493000000.0,20438000000.0
sh603160,603160,sh,汇顶科技,48.3,0.58,0.66,0.62,34.21,2.42,-1.69,-7.47,-8.16,-13.19,-38.56,149080000.0,22507000000.0,22507000000.0
sz000893,000893,sz,亚钾国际,48.29,4.12,2.17,1.06,24.51,3.23,0.15,2.31,-5.92,3.4,0.9,845300000.0,44622000000.0,39202000000.0
sh688307,688307,sh,中润光学,48.26,-1.21,2.55,0.55,88.66,6.8,1.2,-1.97,23.43,-28.86,57.82,152540000.0,5998000000.0,5998000000.0
sh688193,688193,sh,仁度生物,48.24,-0.04,0.69,0.59,139.45,2.2,2.73,-2.15,11.69,-1.27,1.77,13350000.0,1932999999.9999998,1932999999.9999998
sh688816,688816,sh,易思维,48.21,0.06,1.15,0.67,71.7,2.69,0.42,-5.82,2.1,-23.83,-13.46,11440000.0,4821000000.0,990000000.0
sz300836,300836,sz,佰奥智能,48.2,-2.88,3.71,0.91,44.09,7.0,5.29,-7.75,-16.45,-31.43,-11.88,113930000.0,4467000000.0,3058000000.0
sh688606,688606,sh,奥泰生物,48.06,-0.29,0.33,0.63,20.38,1.01,1.63,-2.08,9.43,-2.36,-23.62,11980000.0,3636000000.0,3636000000.0
sh688312,688312,sh,燕麦科技,47.94,-0.58,3.23,0.76,57.28,4.74,1.14,-2.56,15.35,-40.88,46.91,227910000.0,7034000000.0,7034000000.0
sh688719,688719,sh,爱科赛博,47.9,-2.58,4.07,1.04,-123.57,3.32,-0.21,-2.66,9.36,-32.43,8.49,176580000.0,5527000000.0,4298000000.0
sz300725,300725,sz,药石科技,47.74,-2.81,10.8,0.72,52.98,2.46,-3.38,-3.4,25.6,40.7,25.04,1052560000.0,11162000000.0,9678000000.0
sz300331,300331,sz,苏大维格,47.73,-0.17,4.7,0.75,21655.1,7.94,3.47,-3.28,22.67,-8.84,47.5,494560000.0,12394000000.0,10602000000.0
sh688776,688776,sh,国光电气,47.7,1.94,1.53,1.19,-32.49,3.09,2.27,-6.56,1.25,-24.69,-52.65,79580000.0,5170000000.0,5170000000.0
sz002841,002841,sz,视源股份,47.64,1.56,1.42,1.33,15.59,2.32,-3.48,-3.66,6.77,30.24,22.43,352930000.0,33308999999.999996,24837000000.0
sh688726,688726,sh,拉普拉斯,47.6,3.05,3.67,0.85,35.6,4.49,3.12,3.48,18.79,-15.87,33.37,382710000.0,19294000000.0,10468000000.0
sh605298,605298,sh,必得科技,47.6,-0.31,0.26,0.51,161.04,8.48,5.54,1.21,4.71,-13.45,19.69,23240000.0,8942000000.0,8866000000.0
sz002466,002466,sz,天齐锂业,47.56,1.17,2.84,0.81,36.46,1.76,3.1,-2.0,3.21,-22.4,-14.12,1994110000.0,81475000000.0,70192000000.0
sz000628,000628,sz,高新发展,47.51,-0.73,5.37,0.56,184.23,7.54,19.91,21.42,30.41,-11.46,6.79,490910000.0,16737000000.0,9133000000.0
sh688187,688187,sh,时代电气,47.51,0.21,0.5,0.74,15.28,1.49,-3.26,-5.45,2.59,-15.46,-6.13,209590000.0,63222000000.0,41282000000.0
sh603728,603728,sh,鸣志电器,47.51,1.43,2.28,1.46,278.83,6.7,-3.1,-9.52,0.21,-23.97,-34.31,464640000.0,19901000000.0,19901000000.0
sz001225,001225,sz,和泰机电,47.38,-4.32,2.86,0.75,102.67,2.27,10.44,4.64,19.38,-1.68,-16.67,88830000.0,3107000000.0,3046000000.0
sh600345,600345,sh,长江通信,47.33,-1.4,5.32,1.27,23.26,3.72,5.34,0.23,14.99,-8.31,36.99,538250000.0,15601000000.0,10013000000.0
sh603530,603530,sh,神马电力,47.3,0.85,0.6,0.69,41.97,11.26,-6.65,-0.53,5.18,-16.53,16.1,121200000.0,20405000000.0,20219000000.0
sh688789,688789,sh,宏华数科,47.26,0.45,0.81,0.77,21.91,2.5,1.35,0.55,2.38,-9.52,-41.64,68980000.0,8519000000.0,8519000000.0
sh601088,601088,sh,中国神华,47.26,0.19,0.12,0.72,19.88,2.14,1.59,7.24,4.95,0.11,19.74,925060000.0,1025043000000.0,779366000000.0
sz002595,002595,sz,豪迈科技,47.22,-1.42,0.45,1.49,22.93,4.67,-5.71,-7.52,-4.35,-11.06,-18.01,243410000.0,54775000000.0,54396000000.0
