raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sz000750,000750,sz,国海证券,3.83,2.96,1.51,2.82,29.62,1.08,4.64,1.32,0.0,4.08,-9.03,331580000.0,24459000000.0,22199000000.0,60.7,54.4,65.2,53.9,50.7,93.4,62.7,估值因子相对较强
sz000949,000949,sz,新乡化纤,7.06,0.28,2.33,0.71,40.85,1.73,11.36,8.95,18.26,5.37,28.83,272780000.0,11698000000.0,11695000000.0,60.7,79.5,47.6,46.5,69.1,68.3,31.8,中期趋势靠前
sz002850,002850,sz,科达利,179.66,1.4,1.04,0.54,26.55,3.4,-1.22,-5.69,3.11,3.33,15.64,392500000.0,51441999999.99999,37668000000.0,60.6,59.3,43.1,61.1,55.1,84.3,82.8,市值稳定性较高
sz002250,002250,sz,联化科技,15.67,4.47,2.18,1.12,27.86,2.04,-0.51,-10.3,0.26,11.93,18.89,304530000.0,14101000000.0,14030000000.000002,60.6,64.8,53.7,51.0,77.2,71.9,39.7,量比与换手适中
sh603162,603162,sh,海通发展,11.94,-0.17,5.37,0.68,18.21,3.37,0.42,5.01,8.15,5.48,47.99,272710000.0,16416000000.0,5043000000.0,60.6,71.7,53.6,46.3,70.8,61.9,45.9,中期趋势靠前、量比与换手适中
sh600186,600186,sh,莲花控股,11.35,-1.73,8.41,0.66,57.87,10.78,-2.24,-0.87,35.28,17.74,89.8,1707000000.0,20348000000.0,20206000000.0,60.5,93.9,10.4,92.3,46.5,39.6,54.3,中期趋势靠前、成交活跃
sz002074,002074,sz,国轩高科,27.89,3.56,2.49,2.04,14.87,1.69,6.17,0.11,-1.41,-13.03,-28.51,1196560000.0,50613000000.0,48435000000.0,60.4,13.0,75.6,88.1,76.0,84.9,82.2,估值相对占优、成交活跃、量比与换手适中
sz002907,002907,sz,华森制药,16.2,2.92,12.82,1.62,91.27,3.89,0.31,18.16,28.47,30.86,9.68,712640000.0,6765000000.000001,5493000000.0,60.4,96.9,13.1,79.3,42.3,94.0,10.8,中期趋势靠前、成交活跃
sz300347,300347,sz,泰格医药,50.85,-2.72,2.35,0.47,56.75,2.1,-1.8,-5.31,0.14,30.15,-10.13,685600000.0,43783000000.0,28805000000.0,60.4,71.7,35.5,78.0,63.9,25.4,79.5,中期趋势靠前、成交活跃、市值稳定性较高
sz002444,002444,sz,巨星科技,30.26,2.65,0.85,1.03,14.22,1.88,0.53,0.6,1.17,-4.78,-9.99,294890000.0,36145000000.0,34713000000.0,60.4,37.7,73.8,49.5,64.7,97.9,74.0,估值相对占优、市值稳定性较高
sz002064,002064,sz,华峰化学,11.12,-0.71,0.52,0.57,19.31,1.92,-2.46,-3.56,-0.89,11.87,2.02,284650000.0,55183000000.00001,55066000000.0,60.4,61.6,65.5,48.5,51.7,54.1,83.9,市值稳定性较高
sz002407,002407,sz,多氟多,34.05,0.5,7.23,0.57,60.2,4.67,-9.25,-8.96,6.44,2.87,0.99,2657570000.0,40534000000.0,36805000000.0,60.3,64.8,16.9,96.5,53.7,71.4,77.6,成交活跃、市值稳定性较高
sh600989,600989,sh,宝丰能源,23.11,-0.56,0.8,0.75,11.03,3.07,-2.32,-1.37,-0.64,-5.87,20.3,1350250000.0,169474000000.0,169474000000.0,60.2,31.5,67.2,89.6,58.0,56.3,95.6,成交活跃、市值稳定性较高
sh688278,688278,sh,特宝生物,60.0,0.38,1.6,0.78,22.68,7.89,-6.83,1.08,4.0,8.79,-27.77,397840000.0,24491000000.0,24491000000.0,60.2,69.3,35.3,62.1,64.9,69.7,62.8,趋势因子相对较强
sz002262,002262,sz,恩华药业,22.13,1.37,1.22,0.86,20.43,2.67,-2.94,0.14,0.59,9.23,-6.74,237950000.0,22417000000.0,19558000000.0,60.2,63.1,56.0,41.7,63.8,83.9,59.1,趋势因子相对较强
sh603128,603128,sh,华贸物流,5.64,1.62,1.76,2.22,15.33,1.2,6.21,5.82,7.43,7.51,-4.02,129920000.0,7383000000.0,7383000000.0,60.2,73.6,81.0,12.4,66.2,87.4,13.7,中期趋势靠前、估值相对占优
sz002479,002479,sz,富春环保,5.91,2.25,2.33,0.66,15.14,1.16,5.35,1.72,9.65,7.45,23.13,118440000.0,5112000000.0,5101000000.0,60.2,75.9,82.3,7.3,68.0,96.4,0.6,中期趋势靠前、估值相对占优
sz002738,002738,sz,中矿资源,51.13,1.55,4.15,1.16,25.2,2.82,-0.68,-4.04,4.99,-14.78,-34.49,1524740000.0,37293000000.0,36354000000.0,60.1,22.9,48.8,91.4,91.2,86.4,74.7,成交活跃、量比与换手适中、市值稳定性较高
