raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh603313,603313,sh,梦百合,6.05,-0.49,2.2,0.53,-32.37,1.02,-2.1,-3.51,5.77,6.14,-32.02,75250000.0,3452000000.0000005,3452000000.0000005
bj920639,920639,bj,晨光电缆,6.05,-1.63,0.73,0.68,59.72,1.46,-2.89,-4.27,1.17,-15.4,-23.23,5310000.0,1220000000.0,718000000.0
sz300008,300008,sz,天海防务,6.04,-0.98,1.51,0.51,30.48,4.26,-5.63,-5.63,-2.58,-7.76,-23.14,150600000.0,10437000000.0,9950000000.0
sz002531,002531,sz,天顺风能,6.04,-1.79,1.55,0.86,-47.24,1.25,-7.79,-9.99,-4.43,-45.24,-11.95,168010000.0,10853000000.0,10792000000.0
sz002212,002212,sz,天融信,6.04,-3.05,2.36,0.65,170.15,0.75,-7.65,-7.36,10.83,-8.76,-33.41,167310000.0,7123999999.999999,7048000000.0
sh600336,600336,sh,澳柯玛,6.04,-2.27,0.84,1.26,-16.37,2.34,-4.73,-5.33,3.6,-23.06,-26.52,40510000.0,4820000000.0,4820000000.0
sh600210,600210,sh,紫江企业,6.04,1.0,0.75,0.95,8.43,1.44,-0.33,-1.95,-0.66,-4.13,-13.71,68150000.0,9161000000.0,9161000000.0
sz002528,002528,sz,*ST英飞,6.03,7.1,4.0,2.11,-18.48,-33.26,24.07,30.52,34.3,45.65,125.0,249490000.0,7228000000.0,6333000000.0
sh603956,603956,sh,威派格,6.03,-6.94,3.69,0.77,-16.95,1.93,-17.85,-13.24,-1.63,5.98,-6.66,129600000.0,3436999999.9999995,3436999999.9999995
sh601186,601186,sh,中国铁建,6.03,0.5,0.22,0.87,4.65,0.3,-0.17,-2.27,-2.58,-1.15,-18.18,154380000.0,81885000000.0,69365000000.0
sh600493,600493,sh,凤竹纺织,6.03,-0.82,1.91,1.03,267.47,1.48,-1.31,-1.63,12.92,-6.1,-18.09,31330000.0,1639999999.9999998,1639999999.9999998
sh603357,603357,sh,设计总院,6.02,1.69,0.92,1.67,11.24,0.86,-0.17,-1.15,4.15,-11.21,-24.94,31030000.0,3374000000.0,3374000000.0
sz002719,002719,sz,ST麦趣,6.01,-3.69,2.05,1.19,-8.97,9.6,-1.64,-0.83,4.34,-19.87,-29.63,20170000.0,1047000000.0000001,973000000.0
sz002474,002474,sz,榕基软件,6.01,-1.31,2.36,0.33,-57.28,2.84,-7.82,-14.63,3.8,-9.08,-39.05,75080000.0,3739000000.0,3178000000.0
sh601999,601999,sh,出版传媒,6.01,-1.48,0.81,0.42,31.62,1.25,-3.38,-0.83,6.75,1.01,-11.75,26930000.0,3311000000.0,3311000000.0
sh600173,600173,sh,卧龙新能,6.01,-0.83,0.56,0.65,-16.6,1.18,-4.75,-4.6,-0.33,-13.9,-15.71,23860000.0,4210000000.0,4210000000.0
sz002948,002948,sz,青岛银行,6.0,0.84,0.92,0.78,6.4,0.83,4.71,3.45,4.17,10.91,39.53,194240000.0,34922000000.0,21133000000.0
