raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sz002787,002787,sz,华源控股,20.96,0.48,2.37,0.74,49.74,3.82,-8.59,-1.87,3.46,-15.38,68.35,120700000.0,6967000000.0,5200000000.0
sz300363,300363,sz,博腾股份,20.94,2.35,5.91,1.33,-73.45,2.3,-2.88,-3.9,31.95,43.23,-9.55,609270000.0,11380000000.0,10446000000.0
sz000887,000887,sz,中鼎股份,20.94,-0.62,1.8,0.62,18.27,1.91,-6.22,6.95,25.61,-0.19,-9.19,490040000.0,27567000000.0,27523000000.0
sz300153,300153,sz,科泰电源,20.92,0.63,1.26,0.59,81.11,7.07,-12.65,-3.82,6.9,-20.76,-27.86,83330000.0,6694000000.0,6659000000.0
sz002819,002819,sz,东方中科,20.92,-1.09,0.84,0.57,-42.57,1.6,-8.17,2.9,2.6,-11.86,-23.33,41240000.0,6268000000.0,4974000000.0
sz300588,300588,sz,熙菱信息,20.91,-0.99,0.78,0.54,-88.73,15.63,-3.91,-6.19,0.1,8.62,-22.56,28870000.0,4004000000.0,3697000000.0
bj920080,920080,bj,奥美森,20.91,0.77,0.33,0.47,21.47,3.1,-3.91,-4.04,2.8,-7.76,-22.78,1580000.0,1736000000.0,480000000.0
sz001231,001231,sz,农心科技,20.9,0.92,1.34,0.81,30.83,2.07,-0.19,5.08,19.29,-5.13,-15.69,14270000.0,2082999999.9999998,1065000000.0
sz000833,000833,sz,粤桂股份,20.9,-1.74,3.23,0.93,18.46,3.76,-3.69,3.67,9.71,-12.26,8.4,309950000.0,16763999999.999998,9482000000.0
sh688533,688533,sh,上声电子,20.9,1.26,0.25,0.97,19.2,2.01,-2.43,-3.95,2.55,-17.23,-27.66,8690000.0,3447999999.9999995,3447999999.9999995
sh688021,688021,sh,奥福科技,20.9,2.45,1.76,1.74,45.32,1.81,-1.65,0.63,19.36,-15.73,14.52,28030000.0,1597000000.0,1597000000.0
sh688511,688511,sh,天微电子,20.89,-0.05,0.6,0.94,118.01,3.4,-9.57,-7.81,5.19,-12.67,-4.34,16560000.0,2793000000.0,2793000000.0
bj920136,920136,bj,永励精密,20.88,3.21,4.75,1.32,15.82,1.47,-2.2,-0.85,-1.28,8.3,8.3,20510000.0,1670000000.0,438000000.0
sz300766,300766,sz,每日互动,20.87,-0.14,1.79,0.74,-238.46,5.26,-10.28,-16.29,-0.29,-18.73,-36.31,133190000.0,8238000000.0,7470000000.0
sh603733,603733,sh,仙鹤股份,20.87,-1.28,0.32,0.5,16.6,1.99,-8.42,-2.89,0.29,-11.68,-11.08,55170000.0,17056000000.0,17056000000.0
bj920185,920185,bj,贝特瑞,20.87,-0.24,0.22,1.26,27.64,1.89,-0.62,-2.16,2.05,-23.33,-34.91,51700000.0,23754000000.0,23363000000.0
bj920189,920189,bj,康美特,20.85,-0.1,2.56,0.75,29.7,3.77,-6.08,-1.23,-6.5,156.14,156.14,44480000.0,2948000000.0,1769000000.0000002
sz300738,300738,sz,奥飞数据,20.84,-1.84,1.74,0.69,85.19,5.6,-9.51,-8.96,-2.16,-3.99,12.79,355510000.0,20532000000.0,20525000000.0
sz300457,300457,sz,赢合科技,20.84,-1.98,2.17,2.12,21.76,1.89,2.33,3.04,9.48,-20.93,-24.94,289070000.0,13446000000.0,13229000000.0
sz301106,301106,sz,骏成科技,20.83,-0.14,4.79,0.88,40.11,2.36,-1.65,21.74,37.58,-21.57,-0.88,140600000.0,2978000000.0,2978000000.0
sz301318,301318,sz,维海德,20.82,1.91,0.79,1.45,75.98,1.54,0.58,-0.62,9.64,-6.94,-23.49,15130000.0,2817000000.0,1939999999.9999998
sh688739,688739,sh,成大生物,20.82,1.26,0.31,0.59,202.69,0.93,1.86,-0.05,7.21,-4.32,-18.87,26550000.0,8670000000.0,8670000000.0
sz301376,301376,sz,致欧科技,20.8,0.87,1.01,1.97,27.9,2.49,0.92,2.77,9.94,14.28,16.39,40680000.0,8370999999.999999,4028000000.0
sz301020,301020,sz,密封科技,20.8,2.97,1.26,2.48,31.25,3.0,-2.53,-0.62,15.75,-19.0,-5.11,38380000.0,3045000000.0,3045000000.0
sz003011,003011,sz,海象新材,20.8,2.41,1.42,0.95,24.8,1.57,-1.84,2.97,21.5,-3.0,-4.34,22430000.0,2136000000.0,1598000000.0
bj920026,920026,bj,卓兆点胶,20.8,-0.62,2.45,1.23,56.54,3.78,8.67,14.92,24.33,-7.32,-17.27,43810000.0,2390000000.0,1802000000.0
sh600459,600459,sh,贵研铂业,20.78,-2.67,2.07,0.75,25.71,1.89,-8.94,-0.05,17.2,-1.38,13.17,329390000.0,17108000000.000002,15787000000.0
sz002813,002813,sz,路畅科技,20.76,2.37,1.15,2.07,-35.98,12.29,0.44,-0.38,7.34,-9.19,-28.49,28390000.0,2491000000.0,2489000000.0
bj920060,920060,bj,万源通,20.75,0.44,0.66,0.82,27.5,3.11,-9.9,-7.94,-0.81,-33.19,-35.92,12960000.0,3155000000.0,1968000000.0
sz002580,002580,sz,圣阳股份,20.73,-1.52,14.38,2.04,50.54,3.93,3.44,-1.14,22.52,-22.27,67.18,1351880000.0,9409000000.0,9377000000.0
sz301027,301027,sz,华蓝集团,20.72,2.17,2.26,1.02,-89.04,3.39,0.0,0.83,6.8,-1.71,12.55,56140000.0,3046000000.0,2511000000.0
bj920207,920207,bj,众诚科技,20.71,0.29,0.94,0.44,83.68,6.56,-12.21,-10.73,-1.8,-19.64,-6.92,10900000.0,1909000000.0,1166000000.0
sz000506,000506,sz,招金黄金,20.7,-7.34,8.26,1.28,56.4,21.32,11.77,9.58,65.47,46.81,58.5,1625490000.0,19231000000.0,19224000000.0
sh688811,688811,sh,有研复材,20.69,-1.9,1.93,0.62,144.8,6.69,-11.77,-8.37,2.83,-25.14,224.91,36670000.0,10380000000.0,1905999999.9999998
sz301255,301255,sz,通力科技,20.68,1.82,0.42,1.09,79.25,3.0,-2.27,-1.19,11.3,-17.18,-29.01,11430000.0,3150000000.0,2764000000.0
sz300849,300849,sz,锦盛新材,20.67,3.09,1.57,0.97,-55.4,5.75,-0.19,-9.26,17.24,-18.49,32.25,35030000.0,3100000000.0,2279000000.0
sz300552,300552,sz,万集科技,20.67,3.35,4.4,2.21,-39.03,2.55,-5.36,-9.5,4.98,-26.28,-31.92,124400000.0,4405000000.0,2852000000.0
sz002977,002977,sz,*ST天箭,20.67,1.08,0.39,0.47,-10.41,2.92,-1.71,-4.35,-13.44,-25.22,-41.46,5380000.0,2483000000.0,1378000000.0
sh688557,688557,sh,兰剑智能,20.67,0.83,0.7,0.74,27.38,2.51,-9.54,3.66,15.22,-2.56,-17.27,21180000.0,3066000000.0,3066000000.0
sz301077,301077,sz,星华新材,20.66,0.39,1.04,0.62,27.48,3.06,-7.52,-1.05,11.08,-24.9,-19.23,20310000.0,3517000000.0,1975000000.0
sh603665,603665,sh,康隆达,20.65,0.58,1.22,1.74,321.24,5.09,-4.18,-7.94,-2.13,-28.3,-34.98,39590000.0,3307000000.0,3307000000.0
sh603076,603076,sh,乐惠国际,20.65,1.82,0.71,0.89,96.91,1.97,-3.01,-1.48,9.03,-20.05,-11.14,17380000.0,2492000000.0,2492000000.0
sz300915,300915,sz,海融科技,20.61,3.2,1.36,1.55,-370.05,1.75,-1.34,-1.34,11.29,-13.59,-11.74,15950000.0,2594000000.0,1186000000.0
sz300775,300775,sz,三角防务,20.61,0.78,0.75,0.76,41.68,1.93,-6.49,-5.15,1.93,-16.69,-31.98,81000000.0,11285000000.0,10957000000.0
sh600418,600418,sh,江淮汽车,20.6,2.39,1.96,1.27,-27.66,3.74,-6.96,-14.24,-1.72,-43.69,-58.38,901150000.0,46436000000.0,46436000000.0
sz300813,300813,sz,泰林生物,20.59,1.08,2.71,0.95,140.21,3.09,-0.15,0.39,13.88,-5.98,-16.1,41810000.0,2495000000.0,1566000000.0
sz001367,001367,sz,海森药业,20.59,0.73,3.26,1.44,22.28,2.03,4.1,7.52,16.72,-0.68,-5.7,81180000.0,3137000000.0,2504000000.0
sh603533,603533,sh,掌阅科技,20.59,1.78,1.43,0.95,-66.49,3.94,-4.1,-8.49,2.08,-22.13,-6.92,127310000.0,9037000000.0,9037000000.0
sh603216,603216,sh,梦天家居,20.56,0.05,0.59,0.54,71.61,2.6,-4.06,-1.15,2.54,-16.56,-56.07,26910000.0,4579000000.0,4579000000.0
sh600234,600234,sh,科新发展,20.56,-2.51,0.51,1.33,-135.87,11.94,-8.34,-3.29,9.36,-19.88,60.0,27230000.0,5397000000.0,5397000000.0
bj920118,920118,bj,太湖远大,20.56,0.0,1.56,1.17,18.7,1.78,-0.63,4.74,6.81,3.06,-7.43,10130000.0,1063000000.0000001,644000000.0
sz301302,301302,sz,华如科技,20.55,-0.44,1.56,1.16,-14.9,2.25,-11.92,-14.66,-3.52,-21.59,-10.14,44160000.0,3203000000.0,2856000000.0
sz301190,301190,sz,善水科技,20.55,-2.84,5.28,1.48,40.37,2.21,11.62,7.93,13.85,-5.89,-2.45,197900000.0,4411000000.0,3736999999.9999995
sz301348,301348,sz,蓝箭电子,20.54,-0.05,1.97,0.77,-129.33,3.36,-7.31,0.74,13.86,-18.75,1.73,77220000.0,4930000000.0,3974000000.0
sh688398,688398,sh,赛特新材,20.5,3.38,0.86,1.62,249.89,3.37,-7.24,-0.82,5.45,-30.11,20.94,28950000.0,3440000000.0,3440000000.0
