raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh600258,600258,sh,首旅酒店,12.33,1.31,0.76,1.27,16.44,1.17,2.32,0.65,1.4,-6.09,-24.36,103950000.0,13768000000.0,13768000000.0,50.2,32.9,88.0,2.8,69.4,83.0,36.4,估值相对占优
sz002083,002083,sz,孚日股份,10.16,-2.21,1.97,0.63,16.42,1.99,-10.09,-13.31,-5.93,4.94,-12.51,189060000.0,9618000000.0,9614000000.0,50.1,47.0,78.6,34.9,64.5,32.7,21.1,估值相对占优
sz002683,002683,sz,广东宏大,29.3,-0.07,0.72,1.21,22.87,3.14,-3.9,4.01,10.27,-7.6,-38.13,146430000.0,22265000000.0,20292000000.0,50.1,43.4,58.5,21.7,67.7,63.3,56.1,估值因子相对较强
sz300475,300475,sz,香农芯创,151.42,-1.03,1.89,0.64,38.32,14.52,-12.77,-4.16,2.82,-9.33,4.96,1278860000.0,71098000000.0,68144000000.00001,50.0,27.4,23.6,91.5,64.1,49.6,87.2,成交活跃、市值稳定性较高
sz300487,300487,sz,蓝晓科技,62.23,-1.6,1.07,0.8,36.29,6.92,-9.63,-8.13,3.13,5.82,1.06,203930000.0,31683999999.999996,19168000000.0,50.0,59.5,29.3,40.7,61.2,41.4,68.7,趋势因子相对较强
sz300821,300821,sz,东岳硅材,15.61,-4.17,3.33,0.75,51.0,3.51,-14.14,-7.47,2.76,-0.38,34.11,623730000.0,18732000000.0,18729000000.0,49.9,48.0,34.0,77.8,77.9,4.7,49.2,成交活跃、量比与换手适中
sh603067,603067,sh,振华股份,32.81,0.52,1.25,0.69,37.37,6.64,-13.5,-4.23,8.93,-6.15,14.52,307010000.0,24789000000.0,24789000000.0,49.9,44.7,29.1,55.5,60.2,71.7,61.4,流动性因子相对较强
sz301529,301529,sz,福赛科技,110.42,0.22,2.93,0.74,96.48,9.34,5.16,14.83,35.22,0.57,36.4,200070000.0,13076000000.0,7019000000.0,49.9,73.5,3.5,38.6,74.5,67.4,34.6,中期趋势靠前、量比与换手适中
sz300996,300996,sz,普联软件,13.99,-0.71,4.15,0.71,59.02,4.28,-13.54,-32.35,8.2,10.68,19.1,192170000.0,5537000000.0,4661000000.0,49.9,72.2,25.3,35.6,81.0,54.1,3.0,中期趋势靠前、量比与换手适中
sh688138,688138,sh,清溢光电,33.54,-1.96,1.49,1.08,55.21,3.76,-8.73,1.95,12.14,10.33,19.49,154220000.0,10558000000.0,10558000000.0,49.9,78.0,31.1,23.8,70.8,36.3,24.4,中期趋势靠前、量比与换手适中
