raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh600155,600155,sh,华创云信,6.14,3.37,1.73,5.19,53.78,0.68,7.16,2.5,3.89,7.91,-7.25,233840000.0,13591000000.0,13591000000.0,54.8,62.8,57.0,46.2,37.2,87.6,33.3,趋势因子相对较强
sh600211,600211,sh,西藏药业,39.08,1.4,1.36,1.24,12.87,3.22,2.71,0.36,2.38,0.51,-6.25,172080000.0,12596000000.0,12596000000.0,54.8,47.1,67.7,30.6,73.4,84.3,31.0,量比与换手适中
sz000650,000650,sz,仁和药业,5.54,0.91,2.2,2.6,19.65,1.23,2.03,1.65,1.28,5.93,0.73,164410000.0,7756000000.0,7376000000.000001,54.8,55.3,78.9,28.3,61.1,77.3,12.4,估值相对占优
sh600120,600120,sh,浙江东方,4.97,3.11,0.77,2.25,12.08,1.01,4.41,-2.74,-3.31,2.64,-18.36,129570000.0,16974000000.0,16974000000.0,54.8,40.1,91.6,15.2,57.7,91.3,44.1,估值相对占优
sz002939,002939,sz,长城证券,8.14,1.88,0.52,2.85,13.87,1.02,2.52,-1.69,-1.45,-0.85,-19.25,151960000.0,32839999999.999996,29326000000.0,54.7,35.8,88.6,24.9,42.3,91.1,70.3,估值相对占优、市值稳定性较高
sz000523,000523,sz,红棉股份,3.28,0.92,5.65,1.31,52.39,3.07,2.18,10.44,15.9,1.23,-13.0,246280000.0,6020000000.0,4347000000.0,54.6,66.2,33.5,49.6,82.8,77.4,4.5,量比与换手适中
sz000750,000750,sz,国海证券,3.82,2.69,0.99,4.82,29.54,1.08,4.37,1.06,-0.26,3.8,-9.26,216690000.0,24395000000.0,22141000000.0,54.6,47.4,68.2,42.3,31.4,97.3,59.5,估值因子相对较强
sz000932,000932,sz,华菱钢铁,3.74,2.19,0.82,2.32,23.56,0.47,4.47,1.08,-4.59,-3.11,-31.5,207440000.0,25629000000.000004,25629000000.000004,54.6,29.0,79.2,39.1,56.6,95.6,61.6,估值相对占优
sh603529,603529,sh,爱玛科技,22.14,3.6,0.81,2.64,12.87,1.96,5.68,4.63,2.26,1.05,-24.06,150310000.0,19134000000.0,18836000000.0,54.6,48.4,78.9,24.4,49.3,84.3,48.4,估值相对占优
sz000672,000672,sz,上峰材料,14.22,2.89,1.08,1.57,7.86,1.38,3.95,0.35,7.73,-11.73,13.6,146610000.0,13785000000.0,13785000000.0,54.5,29.6,91.2,21.9,75.5,94.4,33.9,估值相对占优、量比与换手适中
